title,introdate,avg_out_of_state_score,avg_out_of_state_quintile,party,bill,house_senate,max_score,max_score_quintile,count,uquintile,sponsor,memberID
prisoners; earned release credits,2016-02-04T18:31:42,9.65,2,D,HB2629,House,40,3,4443,2,Stefanie Mach,89
ASRS; reinstatement; contribution amount,2016-01-04T17:03:39,9.82,2,R,SB1038,Senate,35,5,41,5,Debbie Lesko,21
healthcare providers; family members; coverage,2016-01-14T14:35:21,10.58,2,R,HB2306,House,44,2,4815,2,Regina Cobb,38
law enforcement activity; recording prohibition,2016-01-07T11:10:11,8.84,3,R,SB1054,Senate,40,3,550,4,John Kavanagh,23
driver licenses; voter registration; applicability,2016-01-26T16:34:50,9.39,3,D,SB1342,Senate,52,2,8098,2,Andrew C. Sherwood,91
community colleges; research; development,2016-01-26T10:37:26,9.04,3,R,SB1314,Senate,40,3,5662,2,Sylvia Allen,6
floodplain regulation; aggregate extraction,2016-02-08T11:32:53,10.29,2,R,HB2651,House,56,1,574,4,Michelle B. Ugenti-Rita,87
ASRS; eligible rollovers,2016-01-13T10:12:00,10.33,2,R,HB2160,House,40,3,444,4,Bob Thorpe,70
zero-based budgeting,2016-01-11T16:28:26,8.10,4,R,HB2111,House,64,1,17988,1,Warren H. Petersen,69
charter aircraft; tax exemption,2016-01-25T14:26:26,8.37,4,R,HB2533,House,35,5,4261,2,"Thomas R. Shope, Jr.",36
G&F; assessments; law enforcement; omnibus,2016-01-14T14:34:47,6.29,5,R,HB2305,House,20,5,203,5,Regina Cobb,38
cigarette tax stamps; distributor discount,2016-01-14T17:58:29,9.78,2,R,HB2498,House,40,3,1136,4,Darin Mitchell,37
autocycles; definition; class D licenses,2016-01-14T10:56:42,10.71,1,R,HB2248,House,68,1,31831,1,Rick Gray,40
"taxis, limousines, livery vehicles",2016-02-01T15:54:00,9.09,3,R,SB1492,Senate,68,1,52491,1,Bob Worsley,25
child support action; affirmative defense,2016-01-25T14:22:45,9.97,2,R,SB1299,Senate,40,3,6071,2,Adam Driggs,28
Salt River wild horse plates,2016-01-27T14:27:12,9.45,3,D,SB1368,Senate,41.5,2,2414,3,Barbara McGuire,8
sovereign authority; commandeering; prohibition; exception,2016-01-13T15:36:05,9.05,3,R,HB2201,House,44,2,599,4,Bob Thorpe,70
voter identification; proof of citizenship,2015-12-29T11:49:25,8.66,4,D,SB1034,Senate,60,1,10025,2,Martin Quezada,29
TPT exemption; amateur races,2016-02-08T16:25:19,9.97,2,R,HB2674,House,40,3,6550,2,Tony Rivero,61
charter schools; teachers; administrators; certification,2016-01-06T16:18:07,11.75,1,D,SB1053,Senate,36.5,4,2840,3,Martin Quezada,29
cultural districts; TPT exemption,2016-02-01T16:38:00,8.87,3,D,SB1517,Senate,40,3,35611,1,Martin Quezada,29
Arizona veterans hall of fame,2016-01-05T07:57:56,7.21,5,R,HCR2001,House,38,4,678,4,Sonny Borrelli,35
hotel employees; room access; backgrounds,2016-02-08T17:42:41,8.52,4,R,HB2694,House,19,5,196,5,Steve Montenegro,66
delivery; early ballots; limitation,2015-12-30T10:03:27,9.87,2,R,HB2023,House,48,2,3799,2,Michelle B. Ugenti-Rita,87
campaign finance; clean elections; violations,2016-02-01T15:17:00,6.58,5,D,SB1480,Senate,20,5,2401,3,Andrew C. Sherwood,91
municipal tax; automobiles; Indian reservations,2016-01-28T14:04:18,8.40,4,R,SB1383,Senate,40,3,6424,2,Carlyle Begay,7
PSPRS modifications,2016-02-01T17:15:00,7.36,5,R,SB1428,Senate,40,3,6438,2,Debbie Lesko,21
cannabis; regulation; taxation,2016-01-14T16:34:57,10.79,1,D,HB2406,House,60,1,3681,3,Juan Mendez,62
foster parents; training,2016-02-01T16:06:50,8.79,3,D,HB2581,House,40,3,9037,2,Rosanna Gabald�n,59
charter schools; audit requirements,2016-01-28T14:35:20,11.20,1,D,SB1395,Senate,36.5,4,4873,2,Martin Quezada,29
liquor licenses; tribal land,2016-02-02T16:23:56,9.83,2,D,HB2595,House,21,5,499,4,Jennifer D. Benally,39
employers; ex-felons; income tax credits,2016-02-08T17:31:35,7.59,5,D,HB2680,House,40,3,622,4,Ceci Velasquez,74
firearm sales; transfers; background checks,2016-01-11T09:12:13,11.61,1,D,HCR2007,House,56,1,9272,2,Randall Friese,45
private prison study committee,2016-01-13T14:49:17,9.82,2,D,HB2173,House,52,2,1146,4,Richard C. Andrade,76
early ballots; precinct ballot box,2016-01-26T16:31:16,10.87,1,D,SB1341,Senate,40,3,5449,2,Martin Quezada,29
fire districts; district assistance tax,2016-01-21T16:53:32,9.91,2,R,HB2531,House,40,3,7358,2,Russell Bowers,90
experienced teacher retention pilot program,2016-01-19T14:08:28,9.46,3,D,HB2510,House,43,2,7302,2,Randall Friese,45
appropriation; indigent defense fund,2016-01-28T16:44:23,10.29,2,R,HB2564,House,40,3,34,5,Regina Cobb,38
vehicle emissions inspection program; continuation,2016-01-21T13:35:50,7.78,5,R,SB1255,Senate,20,5,171,5,Steve Pierce,1
supreme court; attorney licensing,2016-01-13T16:05:22,6.70,5,R,HB2219,House,23.5,5,40,5,Anthony Kern,64
drop box; private property; consent,2016-02-01T16:30:00,8.46,4,R,SB1504,Senate,40,3,1490,3,John Kavanagh,23
internet sex offender website; offenses,2016-01-25T13:47:31,8.77,3,R,SB1286,Senate,30.5,5,215,5,John Kavanagh,23
photo radar prohibition; state highways,2016-01-20T17:35:42,6.90,5,R,SB1241,Senate,16,5,78,5,Debbie Lesko,21
